Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
Sleepy Hollow,1999,R,19 Nov 1999,105 min,"Fantasy, Horror, Mystery",Tim Burton,Won 1 Oscar. Another 23 wins & 39 nominations.,7.4,N/A,Sleepy Hollow (1999)
Society Lawyer,1939,PASSED,21 Mar 1939,77 min,"Drama, Music, Mystery",Edwin L. Marin,N/A,6.3,N/A,Society Lawyer (1939)
Solaris,1972,PG,26 Sep 1972,167 min,"Drama, Mystery, Sci-Fi",Andrei Tarkovsky,2 wins & 4 nominations.,8.1,N/A,Solaris (1972)
Solaris,2002,PG-13,27 Nov 2002,99 min,"Drama, Mystery, Romance",Steven Soderbergh,2 wins & 11 nominations.,6.2,"$14,780,776",Solaris (2002)
Solstice,2008,PG-13,01 Jan 2008,91 min,"Drama, Horror, Mystery",Daniel Myrick,1 nomination.,5.4,N/A,Solstice (2008)
Somewhere in Sonora,1933,PASSED,27 May 1933,59 min,"Action, Comedy, Drama",Mack V. Wright,N/A,5.5,N/A,Somewhere in Sonora (1933)
A Song Is Born,1948,PASSED,19 Oct 1948,113 min,"Comedy, Musical",Howard Hawks,N/A,7.1,N/A,A Song Is Born (1948)
Sorcerer,1977,PG,24 Jun 1977,121 min,"Adventure, Drama, Thriller",William Friedkin,Nominated for 1 Oscar. Another 2 nominations.,7.8,N/A,Sorcerer (1977)
Sorority Row,2009,R,11 Sep 2009,101 min,"Horror, Mystery",Stewart Hendler,2 nominations.,5.1,"$11,915,856",Sorority Row (2009)
Sparkle,2012,PG-13,17 Aug 2012,116 min,"Drama, Music",Salim Akil,7 nominations.,5.7,"$24,397,469",Sparkle (2012)
Spring Parade,1940,N/A,27 Sep 1940,89 min,"Comedy, Musical",Henry Koster,N/A,6.9,N/A,Spring Parade (1940)
Springtime in a Small Town,2002,PG,11 Dec 2003,116 min,"Drama, Romance",Zhuangzhuang Tian,4 wins & 3 nominations.,7.1,N/A,Springtime in a Small Town (2002)
The Squaw Man,1918,N/A,15 Dec 1918,60 min,Western,Cecil B. DeMille,N/A,4.8,N/A,The Squaw Man (1918)
The Squaw Man,1931,PASSED,05 Sep 1931,107 min,Western,Cecil B. DeMille,N/A,6.5,N/A,The Squaw Man (1931)
Stage Struck,1958,APPROVED,22 Apr 1958,95 min,"Drama, Romance",Sidney Lumet,N/A,6.2,N/A,Stage Struck (1958)
Stagecoach,1966,APPROVED,15 Jun 1966,115 min,"Action, Adventure, Western",Gordon Douglas,N/A,6.0,N/A,Stagecoach (1966)
Stagecoach,1986,UNRATED,18 May 1986,100 min,"Action, Drama, Western",Ted Post,1 win & 1 nomination.,5.8,N/A,Stagecoach (1986)
A Star Is Born,1954,APPROVED,16 Oct 1954,154 min,"Drama, Musical, Romance",George Cukor,Nominated for 6 Oscars. Another 5 wins & 5 nominations.,7.8,N/A,A Star Is Born (1954)
A Star Is Born,1976,R,17 Dec 1976,139 min,"Drama, Music, Romance",Frank Pierson,Won 1 Oscar. Another 6 wins & 6 nominations.,6.4,N/A,A Star Is Born (1976)
A Star Is Born,2018,N/A,18 May 2018,N/A,"Drama, Music, Musical",Bradley Cooper,N/A,N/A,N/A,A Star Is Born (2018)
State Fair,1945,APPROVED,30 Aug 1945,100 min,"Comedy, Drama, Musical",Walter Lang,Won 1 Oscar. Another 3 nominations.,7.1,N/A,State Fair (1945)
State Fair,1962,N/A,09 Mar 1962,118 min,"Musical, Romance",José Ferrer,1 win & 2 nominations.,6.0,N/A,State Fair (1962)
The Stepfather,2009,PG-13,16 Oct 2009,101 min,"Crime, Thriller",Nelson McCormick,2 nominations.,5.6,"$29,062,561",The Stepfather (2009)
The Stepford Wives,2004,PG-13,11 Jun 2004,93 min,"Comedy, Sci-Fi, Thriller",Frank Oz,3 wins.,5.2,"$59,341,993",The Stepford Wives (2004)
Straw Dogs,2011,R,16 Sep 2011,110 min,"Action, Drama, Thriller",Rod Lurie,2 nominations.,5.8,"$10,324,441",Straw Dogs (2011)
The Student of Prague,1935,N/A,10 Dec 1935,87 min,N/A,Arthur Robison,N/A,7.2,N/A,The Student of Prague (1935)
The Sunshine Boys,1996,PG-13,28 Dec 1997,90 min,"Comedy, Drama",John Erman,N/A,5.7,N/A,The Sunshine Boys (1996)
One Romantic Night,1930,N/A,03 May 1930,73 min,"Comedy, Romance",Paul L. Stein,N/A,6.5,N/A,One Romantic Night (1930)
The Swan,1956,APPROVED,26 Apr 1956,104 min,"Comedy, Romance, Drama",Charles Vidor,N/A,6.5,N/A,The Swan (1956)
Sweet November,2001,PG-13,16 Feb 2001,119 min,"Drama, Romance",Pat O'Connor,3 nominations.,6.7,"$24,418,719",Sweet November (2001)
Swept Away,2002,R,11 Oct 2002,89 min,"Comedy, Romance",Guy Ritchie,8 wins & 8 nominations.,3.6,"$553,102",Swept Away (2002)
Swiss Family Robinson,1960,APPROVED,21 Dec 1960,126 min,"Adventure, Family",Ken Annakin,N/A,7.2,N/A,Swiss Family Robinson (1960)
His Girl Friday,1940,NOT RATED,18 Jan 1940,92 min,"Comedy, Drama, Romance",Howard Hawks,2 wins.,8.0,N/A,His Girl Friday (1940)
Switching Channels,1988,PG,04 Mar 1988,105 min,"Comedy, Crime",Ted Kotcheff,2 nominations.,5.9,N/A,Switching Channels (1988)
Tagore,2003,N/A,24 Sep 2003,175 min,"Action, Drama",Vinayak V.V.,1 nomination.,7.8,N/A,Tagore (2003)
The Taking of Pelham One Two Three,1998,N/A,01 Feb 1998,100 min,"Crime, Drama, Thriller",Félix Enríquez Alcalá,1 win & 1 nomination.,5.1,N/A,The Taking of Pelham One Two Three (1998)
"Tarzan, the Ape Man",1959,G,01 Oct 1959,82 min,"Action, Adventure, Romance",Joseph M. Newman,N/A,4.0,N/A,"Tarzan, the Ape Man (1959)"
Taxi,2004,PG-13,06 Oct 2004,97 min,"Action, Comedy, Crime",Tim Story,3 wins & 7 nominations.,4.4,N/A,Taxi (2004)
Mutiny on the Bounty,1935,NOT RATED,N/A,132 min,"Adventure, Biography, Drama",Frank Lloyd,Won 1 Oscar. Another 2 wins & 7 nominations.,7.8,N/A,Mutiny on the Bounty (1935)
Mutiny on the Bounty,1962,UNRATED,08 Nov 1962,178 min,"Adventure, Drama, History","Lewis Milestone, Carol Reed",Nominated for 7 Oscars. Another 3 wins & 6 nominations.,7.2,N/A,Mutiny on the Bounty (1962)
The Bounty,1984,PG,04 May 1984,132 min,"Action, Adventure, Drama",Roger Donaldson,2 nominations.,7.1,N/A,The Bounty (1984)
The Texas Chainsaw Massacre,2003,R,17 Oct 2003,98 min,Horror,Marcus Nispel,4 wins & 16 nominations.,6.2,"$80,148,261",The Texas Chainsaw Massacre (2003)
That Darn Cat,1997,PG,14 Feb 1997,89 min,"Action, Comedy, Crime",Bob Spiers,2 nominations.,4.6,N/A,That Darn Cat (1997)
They Made Me a Criminal,1939,APPROVED,28 Jan 1939,92 min,"Crime, Drama, Film-Noir",Busby Berkeley,N/A,7.1,N/A,They Made Me a Criminal (1939)
The Thief of Bagdad,1940,NOT RATED,25 Dec 1940,106 min,"Adventure, Family, Fantasy","Ludwig Berger, Michael Powell, Tim Whelan, Alexander Korda, Zoltan Korda, William Cameron Menzies",Won 3 Oscars. Another 3 nominations.,7.6,N/A,The Thief of Bagdad (1940)
The Thief of Baghdad,1978,N/A,23 Nov 1978,100 min,"Adventure, Fantasy",Clive Donner,N/A,6.0,N/A,The Thief of Baghdad (1978)
Yamato Takeru,1994,N/A,09 Jul 1994,105 min,"Adventure, Fantasy",Takao Okawara,1 nomination.,6.3,N/A,Yamato Takeru (1994)
The Thing,1982,R,25 Jun 1982,109 min,"Horror, Mystery, Sci-Fi",John Carpenter,3 nominations.,8.2,N/A,The Thing (1982)
The Thirteenth Floor,1999,R,28 May 1999,100 min,"Mystery, Sci-Fi, Thriller",Josef Rusnak,1 nomination.,7.0,N/A,The Thirteenth Floor (1999)
Thir13en Ghosts,2001,R,26 Oct 2001,91 min,Horror,Steve Beck,3 nominations.,5.6,"$41,601,840",Thir13en Ghosts (2001)
The 39 Steps,1959,APPROVED,13 Mar 1959,93 min,"Comedy, Crime, Drama",Ralph Thomas,N/A,6.6,N/A,The 39 Steps (1959)
The Thirty-Nine Steps,1978,PG,02 May 1980,102 min,"Crime, History, Mystery",Don Sharp,N/A,6.6,N/A,The Thirty-Nine Steps (1978)
The 39 Steps,2008,TV-PG,28 Dec 2008,90 min,"Crime, Mystery, Thriller",James Hawes,1 win.,6.4,N/A,The 39 Steps (2008)
The Thomas Crown Affair,1999,R,06 Aug 1999,113 min,"Crime, Romance, Thriller",John McTiernan,3 wins & 2 nominations.,6.8,N/A,The Thomas Crown Affair (1999)
Three Fugitives,1989,PG-13,27 Jan 1989,96 min,"Action, Comedy",Francis Veber,1 nomination.,6.1,N/A,Three Fugitives (1989)
The Three Musketeers,1935,APPROVED,01 Nov 1935,96 min,"Action, Adventure, Romance",Rowland V. Lee,N/A,5.9,N/A,The Three Musketeers (1935)
The Three Musketeers,1948,NOT RATED,20 Oct 1948,125 min,"Action, Adventure, Drama",George Sidney,N/A,7.2,N/A,The Three Musketeers (1948)
The Three Musketeers,1973,PG,29 Mar 1974,106 min,"Action, Adventure",Richard Lester,Won 1 Golden Globe. Another 3 wins & 7 nominations.,7.3,N/A,The Three Musketeers (1973)
The Three Musketeers,1993,PG,12 Nov 1993,105 min,"Action, Adventure, Comedy",Stephen Herek,2 wins & 3 nominations.,6.4,N/A,The Three Musketeers (1993)
The Three Musketeers,2011,PG-13,21 Oct 2011,110 min,"Action, Adventure, Romance",Paul W.S. Anderson,4 nominations.,5.8,"$20,356,913",The Three Musketeers (2011)
The Time Machine,2002,PG-13,08 Mar 2002,96 min,"Action, Adventure, Sci-Fi",Simon Wells,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,5.9,"$56,684,819",The Time Machine (2002)
To Be or Not to Be,1983,PG,16 Dec 1983,107 min,Comedy,Alan Johnson,Nominated for 1 Oscar. Another 5 nominations.,6.8,N/A,To Be or Not to Be (1983)
To Have and to Hold,1922,N/A,29 Oct 1922,N/A,Romance,George Fitzmaurice,N/A,N/A,N/A,To Have and to Hold (1922)
Tol'able David,1930,N/A,15 Nov 1930,65 min,Drama,John G. Blystone,1 win.,7.1,N/A,Tol'able David (1930)
Too Good to Be True,1988,N/A,14 Nov 1988,95 min,"Drama, Thriller",Christian I. Nyby II,N/A,5.8,N/A,Too Good to Be True (1988)
Toolbox Murders,2004,R,09 Sep 2004,95 min,"Horror, Mystery, Thriller",Tobe Hooper,1 win & 2 nominations.,5.3,N/A,Toolbox Murders (2004)
Tortilla Soup,2001,PG-13,31 Aug 2001,102 min,"Comedy, Romance, Drama",Maria Ripoll,2 wins & 7 nominations.,6.6,"$2,923,596",Tortilla Soup (2001)
Total Recall,2012,PG-13,03 Aug 2012,118 min,"Action, Adventure, Mystery",Len Wiseman,1 win & 5 nominations.,6.3,"$58,877,969",Total Recall (2012)
The Tourist,2010,PG-13,10 Dec 2010,103 min,"Action, Crime, Romance",Florian Henckel von Donnersmarck,Nominated for 3 Golden Globes. Another 4 wins & 2 nominations.,6.0,"$67,631,157",The Tourist (2010)
Tower of London,1962,APPROVED,24 Oct 1962,79 min,"Drama, History, Horror",Roger Corman,N/A,6.4,N/A,Tower of London (1962)
The Town That Dreaded Sundown,2014,R,17 Oct 2014,86 min,"Horror, Mystery, Thriller",Alfonso Gomez-Rejon,2 wins & 1 nomination.,5.6,N/A,The Town That Dreaded Sundown (2014)
The Toy,1982,PG,10 Dec 1982,102 min,Comedy,Richard Donner,1 win.,5.8,N/A,The Toy (1982)
Trader Horn,1973,PG,01 Jun 1973,101 min,Adventure,Reza Badiyi,N/A,4.2,N/A,Trader Horn (1973)
True Lies,1994,R,15 Jul 1994,141 min,"Action, Comedy, Thriller",James Cameron,Nominated for 1 Oscar. Another 7 wins & 19 nominations.,7.2,N/A,True Lies (1994)
The Truth About Charlie,2002,PG-13,25 Oct 2002,104 min,"Mystery, Thriller",Jonathan Demme,2 nominations.,4.8,"$5,293,525",The Truth About Charlie (2002)
Two Much,1996,PG-13,15 Mar 1996,118 min,"Comedy, Romance",Fernando Trueba,5 nominations.,5.4,N/A,Two Much (1996)
Unfaithful,2002,R,10 May 2002,124 min,"Drama, Thriller",Adrian Lyne,Nominated for 1 Oscar. Another 3 wins & 14 nominations.,6.7,"$52,655,427",Unfaithful (2002)
Unfaithfully Yours,1984,PG,10 Feb 1984,96 min,"Comedy, Music, Romance",Howard Zieff,N/A,6.0,N/A,Unfaithfully Yours (1984)
Under Suspicion,2000,R,15 Nov 2000,110 min,"Crime, Drama, Thriller",Stephen Hopkins,2 nominations.,6.5,N/A,Under Suspicion (2000)
The Underneath,1995,R,28 Apr 1995,99 min,"Crime, Thriller",Steven Soderbergh,1 nomination.,6.2,N/A,The Underneath (1995)
The Unholy Three,1930,PASSED,12 Jul 1930,72 min,"Crime, Drama, Romance",Jack Conway,N/A,6.8,N/A,The Unholy Three (1930)
The Unknown Soldier,1985,N/A,06 Dec 1985,199 min,"Drama, War",Rauni Mollberg,3 wins & 1 nomination.,7.5,N/A,The Unknown Soldier (1985)
Van Gogh,1948,N/A,01 Sep 1948,20 min,"Documentary, Short",Alain Resnais,Won 1 Oscar. Another 1 win.,6.8,N/A,Van Gogh (1948)
Vanilla Sky,2001,R,14 Dec 2001,136 min,"Fantasy, Mystery, Romance",Cameron Crowe,Nominated for 1 Oscar. Another 5 wins & 33 nominations.,6.9,N/A,Vanilla Sky (2001)
The Vanishing,1993,R,05 Feb 1993,109 min,"Drama, Horror, Mystery",George Sluizer,2 nominations.,6.3,N/A,The Vanishing (1993)
Vanishing Point,1997,N/A,07 Jan 1997,91 min,"Action, Adventure, Romance",Charles Robert Carner,1 nomination.,5.7,N/A,Vanishing Point (1997)
Vanishing Point,1997,N/A,07 Jan 1997,91 min,"Action, Adventure, Romance",Charles Robert Carner,1 nomination.,5.7,N/A,Vanishing Point (1997)
Vicki,1953,APPROVED,05 Oct 1953,85 min,"Crime, Drama, Film-Noir",Harry Horner,N/A,6.5,N/A,Vicki (1953)
First a Girl,1935,NOT RATED,31 Dec 1935,78 min,"Comedy, Musical",Victor Saville,N/A,7.1,N/A,First a Girl (1935)
Victor Victoria,1982,PG,19 Mar 1982,134 min,"Comedy, Music, Musical",Blake Edwards,Won 1 Oscar. Another 10 wins & 15 nominations.,7.6,N/A,Victor Victoria (1982)
Village of the Damned,1995,R,28 Apr 1995,99 min,"Horror, Sci-Fi, Thriller",John Carpenter,2 nominations.,5.6,N/A,Village of the Damned (1995)
Walk Don't Run,1966,APPROVED,29 Jun 1966,114 min,"Comedy, Romance",Charles Walters,N/A,6.7,N/A,Walk Don't Run (1966)
A Walk in the Clouds,1995,PG-13,11 Aug 1995,102 min,"Drama, Romance",Alfonso Arau,Won 1 Golden Globe. Another 4 nominations.,6.7,N/A,A Walk in the Clouds (1995)
Walking Tall,2004,PG-13,02 Apr 2004,86 min,"Action, Crime",Kevin Bray,2 nominations.,6.2,"$45,860,039",Walking Tall (2004)
War of the Worlds,2005,PG-13,29 Jun 2005,116 min,"Adventure, Sci-Fi, Thriller",Steven Spielberg,Nominated for 3 Oscars. Another 14 wins & 44 nominations.,6.5,"$234,141,872",War of the Worlds (2005)
The Way of All Flesh,1940,APPROVED,05 Jul 1940,86 min,"Crime, Drama, Romance",Louis King,N/A,7.9,N/A,The Way of All Flesh (1940)
Web of the Spider,1971,R,N/A,102 min,Horror,Antonio Margheriti,N/A,5.7,N/A,Web of the Spider (1971)
We Are Family,2010,N/A,10 Sep 2010,115 min,"Drama, Family",Siddharth Malhotra,1 win & 1 nomination.,5.6,"$631,276",We Are Family (2010)
Welcome to Collinwood,2002,R,18 Oct 2002,86 min,"Comedy, Crime","Anthony Russo, Joe Russo",1 nomination.,6.4,"$75,180",Welcome to Collinwood (2002)
We're No Angels,1989,PG-13,15 Dec 1989,106 min,"Comedy, Crime",Neil Jordan,N/A,6.0,N/A,We're No Angels (1989)
What a Girl Wants,2003,PG,04 Apr 2003,105 min,"Comedy, Drama, Family",Dennie Gordon,1 win.,5.8,"$35,990,505",What a Girl Wants (2003)
What Ever Happened to Baby Jane?,1991,N/A,17 Feb 1991,120 min,"Drama, Thriller",David Greene,N/A,6.3,N/A,What Ever Happened to Baby Jane? (1991)
What Women Want,2011,NOT RATED,03 Feb 2011,116 min,"Comedy, Romance, Sci-Fi",Daming Chen,N/A,5.6,"$123,325",What Women Want (2011)
When a Stranger Calls,2006,PG-13,03 Feb 2006,87 min,"Horror, Thriller",Simon West,3 nominations.,5.1,"$47,860,214",When a Stranger Calls (2006)
The Wicked Lady,1983,R,28 Oct 1983,98 min,"Adventure, Drama",Michael Winner,1 nomination.,4.1,N/A,The Wicked Lady (1983)
The Wicker Man,2006,PG-13,01 Sep 2006,102 min,"Horror, Mystery, Thriller",Neil LaBute,2 wins & 7 nominations.,3.7,N/A,The Wicker Man (2006)
Wicker Park,2004,PG-13,03 Sep 2004,114 min,"Drama, Mystery, Romance",Paul McGuigan,1 nomination.,7.0,"$12,831,121",Wicker Park (2004)
Willard,2003,PG-13,14 Mar 2003,100 min,"Drama, Horror, Sci-Fi",Glen Morgan,1 win & 5 nominations.,6.2,"$6,779,751",Willard (2003)
The Witness,2015,N/A,03 Jun 2016,89 min,"Documentary, Biography, Crime",James D. Solomon,1 win & 5 nominations.,7.1,N/A,The Witness (2015)
The Wizard of Gore,2007,R,22 Jun 2007,94 min,"Horror, Mystery",Jeremy Kasten,N/A,5.0,N/A,The Wizard of Gore (2007)
The Wolfman,2010,R,12 Feb 2010,103 min,"Drama, Fantasy, Horror",Joe Johnston,Won 1 Oscar. Another 3 wins & 9 nominations.,5.8,"$61,937,495",The Wolfman (2010)
The Woman in Black,2012,PG-13,03 Feb 2012,95 min,"Drama, Fantasy, Horror",James Watkins,5 wins & 14 nominations.,6.4,"$54,322,273",The Woman in Black (2012)
The Woman in Red,1984,PG-13,15 Aug 1984,87 min,"Comedy, Romance",Gene Wilder,Won 1 Oscar. Another 1 win & 1 nomination.,5.9,N/A,The Woman in Red (1984)
The Women,2008,PG-13,12 Sep 2008,114 min,"Comedy, Drama",Diane English,4 wins & 4 nominations.,4.9,"$26,814,683",The Women (2008)
The Wool Cap,2004,PG-13,21 Nov 2004,103 min,Drama,Steven Schachter,Nominated for 1 Golden Globe. Another 14 nominations.,7.2,N/A,The Wool Cap (2004)
Yogi,2007,N/A,10 Jan 2007,155 min,"Action, Drama",Vinayak V.V.,N/A,4.6,N/A,Yogi (2007)
Eve Knew Her Apples,1945,N/A,12 Apr 1945,64 min,"Musical, Comedy",Will Jason,N/A,5.8,N/A,Eve Knew Her Apples (1945)
You Can't Run Away from It,1956,N/A,31 Oct 1956,95 min,"Comedy, Musical, Romance",Dick Powell,N/A,6.0,N/A,You Can't Run Away from It (1956)
Young Frankenstein,1974,PG,15 Dec 1974,106 min,Comedy,Mel Brooks,Nominated for 2 Oscars. Another 11 wins & 5 nominations.,8.0,N/A,Young Frankenstein (1974)
You're Never Too Young,1955,APPROVED,14 Oct 1955,102 min,Comedy,Norman Taurog,N/A,6.7,N/A,You're Never Too Young (1955)
Pillow Talk,1959,APPROVED,07 Oct 1959,102 min,"Comedy, Romance",Michael Gordon,Won 1 Oscar. Another 5 wins & 11 nominations.,7.5,N/A,Pillow Talk (1959)
You've Got Mail,1998,PG,18 Dec 1998,119 min,"Comedy, Drama, Romance",Nora Ephron,Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,6.6,N/A,You've Got Mail (1998)
13 Tzameti,2005,NOT RATED,08 Feb 2006,93 min,"Crime, Drama, Thriller",Géla Babluani,10 wins & 3 nominations.,7.4,N/A,13 Tzameti (2005)
13 Tzameti,2005,NOT RATED,08 Feb 2006,93 min,"Crime, Drama, Thriller",Géla Babluani,10 wins & 3 nominations.,7.4,N/A,13 Tzameti (2005)
Le Corbeau,1943,NOT RATED,28 Sep 1943,92 min,"Crime, Drama, Mystery",Henri-Georges Clouzot,N/A,7.8,N/A,Le Corbeau (1943)
Two Thousand Maniacs!,1964,UNRATED,20 Mar 1964,83 min,Horror,Herschell Gordon Lewis,1 nomination.,5.9,N/A,Two Thousand Maniacs! (1964)
3 Idiots,2009,PG-13,25 Dec 2009,170 min,"Comedy, Drama",Rajkumar Hirani,26 wins & 13 nominations.,8.4,"$6,500,000",3 Idiots (2009)
3:10 to Yuma,1957,NOT RATED,01 Sep 1957,92 min,"Drama, Thriller, Western",Delmer Daves,Nominated for 1 BAFTA Film Award. Another 1 win & 2 nominations.,7.6,N/A,3:10 to Yuma (1957)
1984,1956,N/A,01 Sep 1956,90 min,"Drama, Sci-Fi",Michael Anderson,N/A,7.0,N/A,1984 (1956)
The General,1926,UNRATED,24 Feb 1927,67 min,"Action, Adventure, Comedy","Clyde Bruckman, Buster Keaton",2 wins & 1 nomination.,8.2,N/A,The General (1926)
Don Juan,1926,PASSED,19 Feb 1927,110 min,"Adventure, Romance",Alan Crosland,N/A,7.1,N/A,Don Juan (1926)
Love Affair,1939,APPROVED,07 Apr 1939,88 min,"Comedy, Drama, Romance",Leo McCarey,N/A,7.4,N/A,Love Affair (1939)
Out of the Past,1947,NOT RATED,01 Dec 1947,97 min,"Crime, Drama, Film-Noir",Jacques Tourneur,1 win.,8.1,N/A,Out of the Past (1947)
Alfie,1966,APPROVED,24 Aug 1966,114 min,"Comedy, Drama",Lewis Gilbert,Nominated for 5 Oscars. Another 7 wins & 17 nominations.,7.1,N/A,Alfie (1966)
Alfie,1966,APPROVED,24 Aug 1966,114 min,"Comedy, Drama",Lewis Gilbert,Nominated for 5 Oscars. Another 7 wins & 17 nominations.,7.1,N/A,Alfie (1966)
All Quiet on the Western Front,1930,UNRATED,24 Aug 1930,136 min,"Drama, War",Lewis Milestone,Won 2 Oscars. Another 5 wins & 2 nominations.,8.1,N/A,All Quiet on the Western Front (1930)
A Guy Named Joe,1943,PASSED,01 Mar 1944,120 min,"Drama, Romance, War",Victor Fleming,N/A,7.0,N/A,A Guy Named Joe (1943)
The Amityville Horror,1979,R,27 Jul 1979,117 min,Horror,Stuart Rosenberg,Nominated for 1 Oscar. Another 7 nominations.,6.2,N/A,The Amityville Horror (1979)
The Amityville Horror,1979,R,27 Jul 1979,117 min,Horror,Stuart Rosenberg,Nominated for 1 Oscar. Another 7 nominations.,6.2,N/A,The Amityville Horror (1979)
And Soon the Darkness,1970,GP,09 Apr 1971,94 min,"Horror, Mystery, Thriller",Robert Fuest,N/A,6.7,N/A,And Soon the Darkness (1970)
Angels in the Outfield,1951,APPROVED,19 Oct 1951,99 min,"Comedy, Family, Fantasy",Clarence Brown,1 nomination.,7.1,N/A,Angels in the Outfield (1951)
Angel on My Shoulder,1946,APPROVED,20 Sep 1946,100 min,"Comedy, Fantasy, Romance",Archie Mayo,N/A,6.9,N/A,Angel on My Shoulder (1946)
Annie,1982,PG,18 Jun 1982,127 min,"Comedy, Drama, Family",John Huston,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,6.5,N/A,Annie (1982)
Thirupaachi,2005,N/A,N/A,N/A,"Action, Romance, Thriller",Perarasu,N/A,5.6,N/A,Thirupaachi (2005)
Duck Soup,1927,N/A,13 Mar 1927,20 min,"Comedy, Short",Fred Guiol,N/A,6.7,N/A,Duck Soup (1927)
Another Part of the Forest,1948,APPROVED,22 Dec 1948,107 min,"Drama, Romance",Michael Gordon,2 nominations.,7.4,N/A,Another Part of the Forest (1948)
Antropophagus,1980,N/A,09 Oct 1981,90 min,Horror,Joe D'Amato,N/A,5.4,N/A,Antropophagus (1980)
All About Eve,1950,NOT RATED,27 Oct 1950,138 min,Drama,Joseph L. Mankiewicz,Won 6 Oscars. Another 17 wins & 17 nominations.,8.3,N/A,All About Eve (1950)
April Fool's Day,1986,R,28 Mar 1986,89 min,"Horror, Mystery",Fred Walton,N/A,6.2,N/A,April Fool's Day (1986)
The Arena,1974,R,01 Jan 1974,83 min,"Action, Adventure",Steve Carver,N/A,5.5,N/A,The Arena (1974)
Arthur,1981,PG,17 Jul 1981,97 min,"Comedy, Romance",Steve Gordon,Won 2 Oscars. Another 9 wins & 6 nominations.,6.9,N/A,Arthur (1981)
Assault on Precinct 13,1976,R,05 Nov 1976,91 min,"Action, Crime, Thriller",John Carpenter,1 nomination.,7.4,N/A,Assault on Precinct 13 (1976)
Attack of the 50 Foot Woman,1958,NOT RATED,19 May 1958,65 min,"Horror, Sci-Fi",Nathan Juran,N/A,5.0,N/A,Attack of the 50 Foot Woman (1958)
Seven Chances,1925,PASSED,15 Mar 1925,56 min,"Comedy, Romance",Buster Keaton,1 win & 1 nomination.,8.0,N/A,Seven Chances (1925)
Little Mother,1935,N/A,22 Dec 1935,N/A,Drama,Henry Koster,1 nomination.,7.4,N/A,Little Mother (1935)
Back Street,1932,N/A,30 Dec 1932,93 min,Drama,John M. Stahl,N/A,7.2,N/A,Back Street (1932)
The Bad News Bears,1976,PG,07 Apr 1976,102 min,"Comedy, Drama, Family",Michael Ritchie,Nominated for 1 BAFTA Film Award. Another 1 win.,7.3,N/A,The Bad News Bears (1976)
The Ballad of Narayama,1958,N/A,19 Jun 1961,98 min,Drama,Keisuke Kinoshita,6 wins & 1 nomination.,8.0,N/A,The Ballad of Narayama (1958)
The Bad Seed,1956,APPROVED,12 Sep 1956,129 min,"Crime, Drama, Horror",Mervyn LeRoy,Nominated for 4 Oscars. Another 1 win & 1 nomination.,7.5,N/A,The Bad Seed (1956)
Casablanca,1942,PG,23 Jan 1943,102 min,"Drama, Romance, War",Michael Curtiz,Won 3 Oscars. Another 5 wins & 9 nominations.,8.5,N/A,Casablanca (1942)
The Battle of the Sexes,1914,N/A,12 Apr 1914,50 min,Drama,D.W. Griffith,N/A,6.1,N/A,The Battle of the Sexes (1914)
Fingers,1978,R,23 Aug 1978,90 min,"Crime, Drama, Music",James Toback,N/A,7.0,N/A,Fingers (1978)
Beau Geste,1926,N/A,25 Aug 1926,101 min,"Action, Adventure, Drama",Herbert Brenon,1 win.,7.1,N/A,Beau Geste (1926)
Beauty and the Beast,1991,G,22 Nov 1991,84 min,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise",Won 2 Oscars. Another 24 wins & 21 nominations.,8.0,"$47,611,331",Beauty and the Beast (1991)
Bedazzled,1967,APPROVED,10 Dec 1967,103 min,"Comedy, Fantasy, Romance",Stanley Donen,N/A,7.0,N/A,Bedazzled (1967)
The Beguiled,1971,R,29 Jan 1971,105 min,"Drama, Thriller, War",Don Siegel,N/A,7.2,N/A,The Beguiled (1971)
Ben-Hur: A Tale of the Christ,1925,NOT RATED,08 Oct 1927,143 min,"Adventure, Drama, Romance","Fred Niblo, Charles Brabin, Christy Cabanne, J.J. Cohn, Rex Ingram",1 win.,8.0,N/A,Ben-Hur: A Tale of the Christ (1925)
Outward Bound,1930,UNRATED,29 Nov 1930,83 min,"Drama, Fantasy","Robert Milton, Ray Enright",1 win.,6.7,N/A,Outward Bound (1930)
Beyond a Reasonable Doubt,1956,NOT RATED,25 Jan 1957,80 min,"Crime, Drama, Film-Noir",Fritz Lang,N/A,7.0,N/A,Beyond a Reasonable Doubt (1956)
House of Strangers,1949,APPROVED,01 Jul 1949,101 min,"Crime, Drama, Film-Noir",Joseph L. Mankiewicz,1 win & 1 nomination.,7.4,N/A,House of Strangers (1949)
The Land Beyond the Law,1927,N/A,05 Jun 1927,70 min,Western,Harry Joe Brown,N/A,N/A,N/A,The Land Beyond the Law (1927)
Washington Merry-Go-Round,1932,TV-G,15 Oct 1932,79 min,Drama,James Cruze,N/A,6.5,N/A,Washington Merry-Go-Round (1932)
