Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
The Captain,1971,N/A,28 Oct 1971,93 min,Comedy,Kurt Hoffmann,1 win.,5.1,N/A,The Captain (1971)
Carnival of Souls,1998,R,21 Aug 1998,90 min,"Drama, Horror, Mystery",Adam Grossman,N/A,3.2,N/A,Carnival of Souls (1998)
Carrie,2002,TV-14,04 Nov 2002,132 min,"Drama, Horror, Sci-Fi",David Carson,2 nominations.,5.5,N/A,Carrie (2002)
Carrie,2013,R,18 Oct 2013,100 min,"Drama, Horror",Kimberly Peirce,5 wins & 7 nominations.,5.9,"$28,440,607",Carrie (2013)
The Cat Creeps,1930,N/A,10 Nov 1930,75 min,"Horror, Mystery","Rupert Julian, John Willard",N/A,6.7,N/A,The Cat Creeps (1930)
The Cat and the Canary,1939,N/A,10 Nov 1939,72 min,"Comedy, Horror, Mystery",Elliott Nugent,N/A,7.3,N/A,The Cat and the Canary (1939)
Cat People,1982,R,02 Apr 1982,118 min,"Fantasy, Horror, Thriller",Paul Schrader,Nominated for 2 Golden Globes. Another 1 nomination.,6.1,N/A,Cat People (1982)
Catch That Kid,2004,PG,06 Feb 2004,91 min,"Adventure, Comedy, Crime",Bart Freundlich,1 nomination.,5.2,"$16,532,227",Catch That Kid (2004)
Carousel,1956,APPROVED,16 Feb 1956,128 min,"Drama, Fantasy, Musical",Henry King,3 nominations.,6.9,N/A,Carousel (1956)
The Champ,1979,PG,04 Apr 1979,121 min,"Drama, Sport",Franco Zeffirelli,Nominated for 1 Oscar. Another 2 wins & 6 nominations.,6.8,N/A,The Champ (1979)
Cheaper by the Dozen,2003,PG,25 Dec 2003,98 min,"Comedy, Family",Shawn Levy,2 wins & 7 nominations.,5.8,"$138,507,634",Cheaper by the Dozen (2003)
Chickens Come Home-,1931,PASSED,21 Feb 1931,30 min,"Short, Comedy",James W. Horne,N/A,7.5,N/A,Chickens Come Home- (1931)
The Children's Hour,1961,NOT RATED,19 Dec 1961,108 min,"Drama, Romance",William Wyler,Nominated for 5 Oscars. Another 1 win & 6 nominations.,7.8,N/A,The Children's Hour (1961)
A Christmas Carol,1999,PG,05 Dec 1999,95 min,"Drama, Fantasy",David Hugh Jones,Nominated for 1 Primetime Emmy. Another 4 nominations.,7.4,N/A,A Christmas Carol (1999)
A Christmas Carol,1984,PG,17 Dec 1984,100 min,"Drama, Family, Fantasy",Clive Donner,N/A,7.9,N/A,A Christmas Carol (1984)
A Christmas Carol,1938,NOT RATED,16 Dec 1938,69 min,"Drama, Family, Fantasy",Edwin L. Marin,N/A,7.5,N/A,A Christmas Carol (1938)
A Christmas Carol,2009,PG,06 Nov 2009,96 min,"Animation, Drama, Family",Robert Zemeckis,3 wins & 5 nominations.,6.8,"$137,816,456",A Christmas Carol (2009)
Chloe,2009,R,26 Mar 2010,96 min,"Drama, Mystery, Romance",Atom Egoyan,3 wins & 5 nominations.,6.3,"$31,000,000",Chloe (2009)
Cinderella,2015,PG,13 Mar 2015,105 min,"Drama, Family, Fantasy",Kenneth Branagh,Nominated for 1 Oscar. Another 8 wins & 35 nominations.,7.0,"$183,327,144",Cinderella (2015)
City of Angels,1998,PG-13,10 Apr 1998,114 min,"Drama, Fantasy, Romance",Brad Silberling,Nominated for 1 Golden Globe. Another 10 wins & 12 nominations.,6.7,N/A,City of Angels (1998)
Clash of the Titans,2010,PG-13,02 Apr 2010,106 min,"Action, Adventure, Fantasy",Louis Leterrier,4 wins & 12 nominations.,5.8,"$163,100,000",Clash of the Titans (2010)
Classmates,2007,N/A,20 Apr 2007,156 min,"Drama, Mystery, Romance","Vijay K. Bhaskar, Vijay K. Bhaskar",N/A,5.2,N/A,Classmates (2007)
Cloak & Dagger,1984,PG,10 Aug 1984,101 min,"Action, Adventure, Crime",Richard Franklin,3 nominations.,6.5,N/A,Cloak & Dagger (1984)
Colorado Territory,1949,APPROVED,11 Jun 1949,94 min,Western,Raoul Walsh,N/A,7.2,N/A,Colorado Territory (1949)
The Computer Wore Tennis Shoes,1995,N/A,18 Feb 1995,87 min,"Comedy, Family, Sci-Fi",Peyton Reed,N/A,5.1,N/A,The Computer Wore Tennis Shoes (1995)
Confession,1937,APPROVED,28 Aug 1937,87 min,"Crime, Drama, Romance",Joe May,N/A,8.0,N/A,Confession (1937)
The Counter Jumper,1922,N/A,09 Dec 1922,20 min,"Comedy, Short",Larry Semon,N/A,5.9,N/A,The Counter Jumper (1922)
