remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
The Front Page (1974) dir. Billy Wilder,1974,The Front Page (1931) dir. Lewis Milestone,1931,43,The Front Page (1974) dir. Billy Wilder (1974),The Front Page ,The Front Page (1974),The Front Page ,The Front Page (1931)
Fun with Dick and Jane (2005) dir. Dean Parisot,2005,Fun with Dick and Jane (1977) dir. Ted Kotcheff,1977,28,Fun with Dick and Jane (2005) dir. Dean Parisot (2005),Fun with Dick and Jane ,Fun with Dick and Jane (2005),Fun with Dick and Jane ,Fun with Dick and Jane (1977)
Funny Games (2008) dir. Michael Haneke,2008,Funny Games (1997) dir. Michael Haneke,1997,11,Funny Games (2008) dir. Michael Haneke (2008),Funny Games ,Funny Games (2008),Funny Games ,Funny Games (1997)
Waterloo Bridge (1940) dir. Mervyn LeRoy,1940,"Waterloo Bridge (1931) dir. James WhaleBased on the play by Robert E. Sherwood",1931,9,Waterloo Bridge (1940) dir. Mervyn LeRoy (1940),Waterloo Bridge ,Waterloo Bridge (1940),Waterloo Bridge ,Waterloo Bridge (1931)
Gaby (1956) dir. Curtis Bernhardt,1956,"Waterloo Bridge (1931) dir. James WhaleBased on the play by Robert E. Sherwood",1931,25,Gaby (1956) dir. Curtis Bernhardt (1956),Gaby ,Gaby (1956),Waterloo Bridge ,Waterloo Bridge (1931)
Gambit (2012) dir. Michael Hoffman,2012,Gambit (1966) dir. Ronald Neame,1966,46,Gambit (2012) dir. Michael Hoffman (2012),Gambit ,Gambit (2012),Gambit ,Gambit (1966)
The Gambler (2014) dir. Rupert Wyatt,2014,"The Gambler (1974) dir. Karel ReiszBased upon the short novel by Fyodor Dostoyevsky",1974,40,The Gambler (2014) dir. Rupert Wyatt (2014),The Gambler ,The Gambler (2014),The Gambler ,The Gambler (1974)
Gaslight (1944) dir. George Cukor,1944,Gaslight (1940) dir. Thorold Dickinson,1940,4,Gaslight (1944) dir. George Cukor (1944),Gaslight ,Gaslight (1944),Gaslight ,Gaslight (1940)
Get Carter (2000) dir. Stephen Kay,2000,Get Carter (1971) dir. Mike Hodges,1971,29,Get Carter (2000) dir. Stephen Kay (2000),Get Carter ,Get Carter (2000),Get Carter ,Get Carter (1971)
The Girl Downstairs (1938) dir. Norman Taurog,1938,Catherine the Last (1936) dir. Henry Koster,1936,2,The Girl Downstairs (1938) dir. Norman Taurog (1938),The Girl Downstairs ,The Girl Downstairs (1938),Catherine the Last ,Catherine the Last (1936)
Gharshana (2004) dir. Gautham Menon,2004,Kaakha Kaakha (2003) dir. Gautham Menon,2003,1,Gharshana (2004) dir. Gautham Menon (2004),Gharshana ,Gharshana (2004),Kaakha Kaakha ,Kaakha Kaakha (2003)
Ghostbusters (2016) dir. Paul Feig,2016,Ghostbusters (1984) dir. Ivan Reitman,1984,32,Ghostbusters (2016) dir. Paul Feig (2016),Ghostbusters ,Ghostbusters (2016),Ghostbusters ,Ghostbusters (1984)
Ghost Theater (2015) dir. Hideo Nakata,2015,Don't Look Up (1996) dir. Hideo Nakata,1996,19,Ghost Theater (2015) dir. Hideo Nakata (2015),Ghost Theater ,Ghost Theater (2015),Don't Look Up ,Don't Look Up (1996)
Gloria (1999) dir. Sidney Lumet,1999,Gloria (1980) dir. John Cassavetes,1980,19,Gloria (1999) dir. Sidney Lumet (1999),Gloria ,Gloria (1999),Gloria ,Gloria (1980)
Godzilla (1998) dir. Roland Emmerich,1998,Gojira (1954) dir. Ishir¥Ë_¥Ë_ Honda,1954,44,Godzilla (1998) dir. Roland Emmerich (1998),Godzilla ,Godzilla (1998),Gojira ,Gojira (1954)
Godzilla (2014) dir. Gareth Edwards,2014,Gojira (1954) dir. Ishir¥Ë_¥Ë_ Honda,1954,60,Godzilla (2014) dir. Gareth Edwards (2014),Godzilla ,Godzilla (2014),Gojira ,Gojira (1954)
Going in Style (2017) dir. Zach Braff,2017,Going in Style (1979) dir. Martin Brest,1979,38,Going in Style (2017) dir. Zach Braff (2017),Going in Style ,Going in Style (2017),Going in Style ,Going in Style (1979)
Gone in 60 Seconds (2000) dir. Dominic Sena,2000,Gone in 60 Seconds (1974) dir. H. B. Halicki,1974,26,Gone in 60 Seconds (2000) dir. Dominic Sena (2000),Gone in 60 Seconds ,Gone in 60 Seconds (2000),Gone in 60 Seconds ,Gone in 60 Seconds (1974)
The Goodbye Girl (2004) dir. Richard Benjamin,2004,The Goodbye Girl (1977) dir. Herbert Ross,1977,27,The Goodbye Girl (2004) dir. Richard Benjamin (2004),The Goodbye Girl ,The Goodbye Girl (2004),The Goodbye Girl ,The Goodbye Girl (1977)
The Good Companions (1957) dir. J. Lee Thompson,1957,The Good Companions (1933) dir. Victor Saville,1933,24,The Good Companions (1957) dir. J. Lee Thompson (1957),The Good Companions ,The Good Companions (1957),The Good Companions ,The Good Companions (1933)
Good Morning (1959) dir. Yasujir¥Ë_¥Ë_ Ozu,1959,"I Was Born, But... (1932) dir. Yasujir¥Ë_¥Ë_ Ozu",1932,27,Good Morning (1959) dir. Yasujir¥Ë_¥Ë_ Ozu (1959),Good Morning ,Good Morning (1959),"I Was Born, But... ","I Was Born, But... (1932)"
The Good Thief (2002) dir. Neil Jordan,2002,Bob le flambeur (1956) dir. Jean-Pierre Melville,1956,46,The Good Thief (2002) dir. Neil Jordan (2002),The Good Thief ,The Good Thief (2002),Bob le flambeur ,Bob le flambeur (1956)
Gordon of Ghost City (1933) dir. Ray Taylor,1933,Flaming Guns (1932) dir. Arthur Rosson,1932,1,Gordon of Ghost City (1933) dir. Ray Taylor (1933),Gordon of Ghost City ,Gordon of Ghost City (1933),Flaming Guns ,Flaming Guns (1932)
The Great Train Robbery (1904) dir. Siegmund Lubin,1904,The Great Train Robbery (1903) dir. Edwin S. Porter,1903,1,The Great Train Robbery (1904) dir. Siegmund Lubin (1904),The Great Train Robbery ,The Great Train Robbery (1904),The Great Train Robbery ,The Great Train Robbery (1903)
The Grudge (2004) dir. Takashi Shimizu,2004,Ju-on: The Grudge (2003) dir. Takashi Shimizu,2003,1,The Grudge (2004) dir. Takashi Shimizu (2004),The Grudge ,The Grudge (2004),Ju-on: The Grudge ,Ju-on: The Grudge (2003)
Guess Who (2005) dir. Kevin Rodney Sullivan,2005,Guess Who's Coming to Dinner (1967) dir. Stanley Kramer,1967,38,Guess Who (2005) dir. Kevin Rodney Sullivan (2005),Guess Who ,Guess Who (2005),Guess Who's Coming to Dinner ,Guess Who's Coming to Dinner (1967)
Halloween (2007) dir. Rob Zombie,2007,Halloween (1978) dir. John Carpenter,1978,29,Halloween (2007) dir. Rob Zombie (2007),Halloween ,Halloween (2007),Halloween ,Halloween (1978)
The Hand (1981) dir. Oliver Stone,1981,The Beast with Five Fingers (1946) dir. Robert Florey,1946,35,The Hand (1981) dir. Oliver Stone (1981),The Hand ,The Hand (1981),The Beast with Five Fingers ,The Beast with Five Fingers (1946)
Happy New Year (1987) dir. John G. Avildsen,1987,La bonne ann’©e (1973) dir. Claude Lelouch,1973,14,Happy New Year (1987) dir. John G. Avildsen (1987),Happy New Year ,Happy New Year (1987),La bonne ann’©e ,La bonne ann’©e (1973)
Hara-Kiri: Death of a Samurai (2011) dir. Takashi Miike,2011,Harakiri (1962) dir. Masaki Kobayashi,1962,49,Hara-Kiri: Death of a Samurai (2011) dir. Takashi Miike (2011),Hara-Kiri: Death of a Samurai ,Hara-Kiri: Death of a Samurai (2011),Harakiri ,Harakiri (1962)
The Hasty Heart (1983) dir. Martin M. Speer,1983,The Hasty Heart (1949) dir. Vincent Sherman,1949,34,The Hasty Heart (1983) dir. Martin M. Speer (1983),The Hasty Heart ,The Hasty Heart (1983),The Hasty Heart ,The Hasty Heart (1949)
Haunted Gold (1932) dir. Mack V. Wright,1932,The Phantom City (1928) dir. Albert S. Rogell,1928,4,Haunted Gold (1932) dir. Mack V. Wright (1932),Haunted Gold ,Haunted Gold (1932),The Phantom City ,The Phantom City (1928)
The Haunting (1999) dir. Jan de Bont,1999,The Haunting (1963) dir. Robert Wise,1963,36,The Haunting (1999) dir. Jan de Bont (1999),The Haunting ,The Haunting (1999),The Haunting ,The Haunting (1963)
Head Above Water (1996) dir. Jim Wilson,1996,Hodet over vannet (1993) dir. Nils Gaup,1993,3,Head Above Water (1996) dir. Jim Wilson (1996),Head Above Water ,Head Above Water (1996),Hodet over vannet ,Hodet over vannet (1993)
The Heartbreak Kid (2007) dir. Bobby Farrelly & Peter Farrelly,2007,"The Heartbreak Kid (1972) dir. Elaine MayBased on the short story A Change of Plan by Bruce Jay Friedman",1972,35,The Heartbreak Kid (2007) dir. Bobby Farrelly & Peter Farrelly (2007),The Heartbreak Kid ,The Heartbreak Kid (2007),The Heartbreak Kid ,The Heartbreak Kid (1972)
Heat (1995) dir. Michael Mann,1995,L.A. Takedown (1989) dir. Michael Mann,1989,6,Heat (1995) dir. Michael Mann (1995),Heat ,Heat (1995),L.A. Takedown ,L.A. Takedown (1989)
"Her Majesty, Love (1931) dir. William Dieterle",1931,Her Majesty the Barmaid (1931) dir. Joe May,1931,0,"Her Majesty, Love (1931) dir. William Dieterle (1931)","Her Majesty, Love ","Her Majesty, Love (1931)",Her Majesty the Barmaid ,Her Majesty the Barmaid (1931)
Outland (1981) dir. Peter Hyams,1981,High Noon (1952) dir. Fred Zinnemann,1952,29,Outland (1981) dir. Peter Hyams (1981),Outland ,Outland (1981),High Noon ,High Noon (1952)
High Noon (2000) dir. Rod Hardy,2000,High Noon (1952) dir. Fred Zinnemann,1952,48,High Noon (2000) dir. Rod Hardy (2000),High Noon ,High Noon (2000),High Noon ,High Noon (1952)
High Society (1956) dir. Charles Walters,1956,The Philadelphia Story (1940) dir. George Cukor,1940,16,High Society (1956) dir. Charles Walters (1956),High Society ,High Society (1956),The Philadelphia Story ,The Philadelphia Story (1940)
The Hills Have Eyes (2006) dir. Alexandre Aja,2006,The Hills Have Eyes (1977) dir. Wes Craven,1977,29,The Hills Have Eyes (2006) dir. Alexandre Aja (2006),The Hills Have Eyes ,The Hills Have Eyes (2006),The Hills Have Eyes ,The Hills Have Eyes (1977)
The Hitcher (2007) dir. Dave Meyers,2007,The Hitcher (1986) dir. Robert Harmon,1986,21,The Hitcher (2007) dir. Dave Meyers (2007),The Hitcher ,The Hitcher (2007),The Hitcher ,The Hitcher (1986)
Holiday (1938) dir. George Cukor,1938,Holiday (1930) dir. Edward H. Griffith,1930,8,Holiday (1938) dir. George Cukor (1938),Holiday ,Holiday (1938),Holiday ,Holiday (1930)
Homeward Bound: The Incredible Journey (1993) dir. Duwayne Dunham,1993,"The Incredible Journey (1963) dir. Fletcher MarkleBased on the novel by Sheila Burnford",1963,30,Homeward Bound: The Incredible Journey (1993) dir. Duwayne Dunham (1993),Homeward Bound: The Incredible Journey ,Homeward Bound: The Incredible Journey (1993),The Incredible Journey ,The Incredible Journey (1963)
Hoodman Blind (1923) dir. John Ford,1923,Hoodman Blind (1913) dir. James Gordon,1913,10,Hoodman Blind (1923) dir. John Ford (1923),Hoodman Blind ,Hoodman Blind (1923),Hoodman Blind ,Hoodman Blind (1913)
House on Haunted Hill (1999) dir. William Malone,1999,House on Haunted Hill (1959) dir. William Castle,1959,40,House on Haunted Hill (1999) dir. William Malone (1999),House on Haunted Hill ,House on Haunted Hill (1999),House on Haunted Hill ,House on Haunted Hill (1959)
House of Wax (1953) dir. Andr’© de Toth,1953,Mystery of the Wax Museum (1933) dir. Michael Curtiz,1933,20,House of Wax (1953) dir. Andr’© de Toth (1953),House of Wax ,House of Wax (1953),Mystery of the Wax Museum ,Mystery of the Wax Museum (1933)
House of Wax (2005) dir. Jaume Collet-Serra,2005,Mystery of the Wax Museum (1933) dir. Michael Curtiz,1933,72,House of Wax (2005) dir. Jaume Collet-Serra (2005),House of Wax ,House of Wax (2005),Mystery of the Wax Museum ,Mystery of the Wax Museum (1933)
How to Make a Monster (2001) dir. George Huang,2001,How to Make a Monster (1958) dir. Herbert L. Strock,1958,43,How to Make a Monster (2001) dir. George Huang (2001),How to Make a Monster ,How to Make a Monster (2001),How to Make a Monster ,How to Make a Monster (1958)
Huckleberry Finn (1974) dir. J. Lee Thompson,1974,The Adventures of Huckleberry Finn (1939) dir. Richard Thorpe,1939,35,Huckleberry Finn (1974) dir. J. Lee Thompson (1974),Huckleberry Finn ,Huckleberry Finn (1974),The Adventures of Huckleberry Finn ,The Adventures of Huckleberry Finn (1939)
Hurricane (1979) dir. Jan Troell,1979,"The Hurricane (1937) dir. John FordBased on the novel by Charles Nordhoff and James Norman Hall",1937,42,Hurricane (1979) dir. Jan Troell (1979),Hurricane ,Hurricane (1979),The Hurricane ,The Hurricane (1937)
I Am Omega (2007) dir. Griff Furs,2007,"The Last Man on Earth (1964) dir. Ubaldo Ragona and Sidney SalkowBased on the novel I Am Legend by Richard Matheson",1964,43,I Am Omega (2007) dir. Griff Furs (2007),I Am Omega ,I Am Omega (2007),The Last Man on Earth ,The Last Man on Earth (1964)
I Died A Thousand Times (1955) dir. Stuart Heisler,1955,High Sierra (1941) dir. Raoul Walsh,1941,14,I Died A Thousand Times (1955) dir. Stuart Heisler (1955),I Died A Thousand Times ,I Died A Thousand Times (1955),High Sierra ,High Sierra (1941)
I Married a Monster (1998) dir. Nancy Malone,1998,I Married a Monster from Outer Space (1958) dir. Gene Fowler Jr.,1958,40,I Married a Monster (1998) dir. Nancy Malone (1998),I Married a Monster ,I Married a Monster (1998),I Married a Monster from Outer Space ,I Married a Monster from Outer Space (1958)
I Saw What You Did (1988) dir. Fred Walton,1988,I Saw What You Did (1965) dir. William Castle,1965,23,I Saw What You Did (1988) dir. Fred Walton (1988),I Saw What You Did ,I Saw What You Did (1988),I Saw What You Did ,I Saw What You Did (1965)
I Spit on Your Grave (2010) dir. Steven R. Monroe,2010,I Spit on Your Grave (1978) dir. Meir Zarchi,1978,32,I Spit on Your Grave (2010) dir. Steven R. Monroe (2010),I Spit on Your Grave ,I Spit on Your Grave (2010),I Spit on Your Grave ,I Spit on Your Grave (1978)
I Want to Live! (1983) dir. David Lowell Rich,1983,I Want to Live! (1958) dir. Robert Wise,1958,25,I Want to Live! (1983) dir. David Lowell Rich (1983),I Want to Live! ,I Want to Live! (1983),I Want to Live! ,I Want to Live! (1958)
Ice Castles (2010) dir. Donald Wrye,2010,Ice Castles (1978) dir. Donald Wrye,1978,32,Ice Castles (2010) dir. Donald Wrye (2010),Ice Castles ,Ice Castles (2010),Ice Castles ,Ice Castles (1978)
Ihr erstes Rendezvous (1955) dir. Axel von Ambesser,1955,Premier rendez-vous (1941) dir. Henri Decoin,1941,14,Ihr erstes Rendezvous (1955) dir. Axel von Ambesser (1955),Ihr erstes Rendezvous ,Ihr erstes Rendezvous (1955),Premier rendez-vous ,Premier rendez-vous (1941)
In the Good Old Summertime (1949) dir. Robert Z. Leonard,1949,The Shop Around the Corner (1940) dir. Ernst Lubitsch,1940,9,In the Good Old Summertime (1949) dir. Robert Z. Leonard (1949),In the Good Old Summertime ,In the Good Old Summertime (1949),The Shop Around the Corner ,The Shop Around the Corner (1940)
Indiscretion of an American Wife (1998) dir. George Kaczender,1998,Terminal Station (1953) dir. Vittorio De Sica,1953,45,Indiscretion of an American Wife (1998) dir. George Kaczender (1998),Indiscretion of an American Wife ,Indiscretion of an American Wife (1998),Terminal Station ,Terminal Station (1953)
The Initiation of Sarah (2006) dir. Stuart Gillard,2006,The Initiation of Sarah (1978) dir. Robert Day,1978,28,The Initiation of Sarah (2006) dir. Stuart Gillard (2006),The Initiation of Sarah ,The Initiation of Sarah (2006),The Initiation of Sarah ,The Initiation of Sarah (1978)
The In-Laws (2003) dir. Andrew Fleming,2003,The In-Laws (1979) dir. Arthur Hiller,1979,24,The In-Laws (2003) dir. Andrew Fleming (2003),The In-Laws ,The In-Laws (2003),The In-Laws ,The In-Laws (1979)
Insomnia (2002) dir. Christopher Nolan,2002,Insomnia (1997) dir. Erik Skjoldbj¥Ë__rg,1997,5,Insomnia (2002) dir. Christopher Nolan (2002),Insomnia ,Insomnia (2002),Insomnia ,Insomnia (1997)
Intersection (1994) dir. Mark Rydell,1994,Les choses de la vie (1970) dir. Claude Sautet,1970,24,Intersection (1994) dir. Mark Rydell (1994),Intersection ,Intersection (1994),Les choses de la vie ,Les choses de la vie (1970)
Intermezzo (1939) dir. Gregory Ratoff,1939,Intermezzo (1936) dir. G’_sta Stevens,1936,3,Intermezzo (1939) dir. Gregory Ratoff (1939),Intermezzo ,Intermezzo (1939),Intermezzo ,Intermezzo (1936)
Interview (2007) dir. Steve Buscemi,2007,Interview (2003) dir. Theo van Gogh,2003,4,Interview (2007) dir. Steve Buscemi (2007),Interview ,Interview (2007),Interview ,Interview (2003)
Invaders from Mars (1986) dir. Tobe Hooper,1986,Invaders from Mars (1953) dir. William Cameron Menzies,1953,33,Invaders from Mars (1986) dir. Tobe Hooper (1986),Invaders from Mars ,Invaders from Mars (1986),Invaders from Mars ,Invaders from Mars (1953)
Invasion of the Body Snatchers (1978) dir. Philip Kaufman,1978,Invasion of the Body Snatchers (1956) dir. Don Siegel,1956,22,Invasion of the Body Snatchers (1978) dir. Philip Kaufman (1978),Invasion of the Body Snatchers ,Invasion of the Body Snatchers (1978),Invasion of the Body Snatchers ,Invasion of the Body Snatchers (1956)
Body Snatchers (1993) dir. Abel Ferrara,1993,Invasion of the Body Snatchers (1956) dir. Don Siegel,1956,37,Body Snatchers (1993) dir. Abel Ferrara (1993),Body Snatchers ,Body Snatchers (1993),Invasion of the Body Snatchers ,Invasion of the Body Snatchers (1956)
The Invasion (2007) dir. Oliver Hirschbiegel,2007,Invasion of the Body Snatchers (1956) dir. Don Siegel,1956,51,The Invasion (2007) dir. Oliver Hirschbiegel (2007),The Invasion ,The Invasion (2007),Invasion of the Body Snatchers ,Invasion of the Body Snatchers (1956)
Irma la Douce (1972) dir. Paul Paviot,1972,Irma la Douce (1963) dir. Billy Wilder,1963,9,Irma la Douce (1972) dir. Paul Paviot (1972),Irma la Douce ,Irma la Douce (1972),Irma la Douce ,Irma la Douce (1963)
Iron Maze (1991) dir. Hiroaki Yoshida,1991,Rashomon (1950) dir. Akira Kurosawa,1950,41,Iron Maze (1991) dir. Hiroaki Yoshida (1991),Iron Maze ,Iron Maze (1991),Rashomon ,Rashomon (1950)
The Italian Job (2003) dir. F. Gary Gray,2003,The Italian Job (1969) dir. Peter Collinson,1969,34,The Italian Job (2003) dir. F. Gary Gray (2003),The Italian Job ,The Italian Job (2003),The Italian Job ,The Italian Job (1969)
¥Ë_Le Golem (1936) dir. Julien Duvivier,1936,The Golem (1920) dir. Paul Wegener,1920,16,¥Ë_Le Golem (1936) dir. Julien Duvivier (1936),¥Ë_Le Golem ,¥Ë_Le Golem (1936),The Golem ,The Golem (1920)
The Emperor and the Golem (1951) dir. Martin Fri¥Ë_,1951,The Golem (1920) dir. Paul Wegener,1920,31,The Emperor and the Golem (1951) dir. Martin Fri¥Ë_ (1951),The Emperor and the Golem ,The Emperor and the Golem (1951),The Golem ,The Golem (1920)
It! (1967) dir. Herbert J. Leder,1967,The Golem (1920) dir. Paul Wegener,1920,47,It! (1967) dir. Herbert J. Leder (1967),It! ,It! (1967),The Golem ,The Golem (1920)
It's Alive (2009) dir. Josef Rusnak,2009,It's Alive (1974) dir. Larry Cohen,1974,35,It's Alive (2009) dir. Josef Rusnak (2009),It's Alive ,It's Alive (2009),It's Alive ,It's Alive (1974)
It's Great to Be Alive (1933) dir. Alfred L. Werker,1933,The Last Man on Earth (1924) dir. John G. Blystone,1924,9,It's Great to Be Alive (1933) dir. Alfred L. Werker (1933),It's Great to Be Alive ,It's Great to Be Alive (1933),The Last Man on Earth ,The Last Man on Earth (1924)
J'accuse (1938) dir. Abel Gance,1938,J'accuse (1919) dir. Abel Gance,1919,19,J'accuse (1938) dir. Abel Gance (1938),J'accuse ,J'accuse (1938),J'accuse ,J'accuse (1919)
The Jackal (1997) dir. Michael Caton-Jones,1997,"The Day of the Jackal (1973) dir. Fred ZinnemannBased on the novel by Frederick Forsyth",1973,24,The Jackal (1997) dir. Michael Caton-Jones (1997),The Jackal ,The Jackal (1997),The Day of the Jackal ,The Day of the Jackal (1973)
Jakob the Liar (1999) dir. Peter Kassovitz,1999,Jacob the Liar (1975) dir. Frank Beyer,1975,24,Jakob the Liar (1999) dir. Peter Kassovitz (1999),Jakob the Liar ,Jakob the Liar (1999),Jacob the Liar ,Jacob the Liar (1975)
The Jazz Singer (1952) dir. Michael Curtiz,1952,"The Jazz Singer (1927) dir. Alan CroslandBased on the play by Samson Raphaelson",1927,25,The Jazz Singer (1952) dir. Michael Curtiz (1952),The Jazz Singer ,The Jazz Singer (1952),The Jazz Singer ,The Jazz Singer (1927)
The Jazz Singer (1980) dir. Richard Fleischer,1980,"The Jazz Singer (1927) dir. Alan CroslandBased on the play by Samson Raphaelson",1927,53,The Jazz Singer (1980) dir. Richard Fleischer (1980),The Jazz Singer ,The Jazz Singer (1980),The Jazz Singer ,The Jazz Singer (1927)
Jigoku (1999) dir. Teruo IshiiJigoku (1970) dir. Tatsumi Kumashiro,1999,Jigoku (1960) dir. Nobuo Nakagawa,1960,39,Jigoku (1999) dir. Teruo IshiiJigoku (1970) dir. Tatsumi Kumashiro (1999),Jigoku ,Jigoku (1999),Jigoku ,Jigoku (1960)
Journey into Fear (1975) dir. Daniel Mann,1975,"Journey into Fear (1943) dir. Norman FosterBased on the novel by Eric Ambler",1943,32,Journey into Fear (1975) dir. Daniel Mann (1975),Journey into Fear ,Journey into Fear (1975),Journey into Fear ,Journey into Fear (1943)
The Jungle Book (2016) dir. Jon Favreau,2016,The Jungle Book (1967) dir. Wolfgang Reitherman,1967,49,The Jungle Book (2016) dir. Jon Favreau (2016),The Jungle Book ,The Jungle Book (2016),The Jungle Book ,The Jungle Book (1967)
The Jungle Book: Mowgli's Story (1998),1998,The Jungle Book (1967) dir. Wolfgang Reitherman,1967,31,The Jungle Book: Mowgli's Story (1998) (1998),The Jungle Book: Mowgli's Story ,The Jungle Book: Mowgli's Story (1998),The Jungle Book ,The Jungle Book (1967)
Rudyard Kipling's The Jungle Book (1994),1994,The Jungle Book (1967) dir. Wolfgang Reitherman,1967,27,Rudyard Kipling's The Jungle Book (1994) (1994),Rudyard Kipling's The Jungle Book ,Rudyard Kipling's The Jungle Book (1994),The Jungle Book ,The Jungle Book (1967)
Jungle 2 Jungle (1997) dir. John Pasquin,1997,Un indien dans la ville (1994) dir. Herv’© Palud,1994,3,Jungle 2 Jungle (1997) dir. John Pasquin (1997),Jungle 2 Jungle ,Jungle 2 Jungle (1997),Un indien dans la ville ,Un indien dans la ville (1994)
Juno and the Paycock (1980) dir. Roger Cheveley,1980,Juno and the Paycock (1930) dir. Alfred Hitchcock,1930,50,Juno and the Paycock (1980) dir. Roger Cheveley (1980),Juno and the Paycock ,Juno and the Paycock (1980),Juno and the Paycock ,Juno and the Paycock (1930)
Just Visiting (2001) dir. Jean-Marie Poir’©,2001,Les Visiteurs (1993) dir. Jean-Marie Poir’©,1993,8,Just Visiting (2001) dir. Jean-Marie Poir’© (2001),Just Visiting ,Just Visiting (2001),Les Visiteurs ,Les Visiteurs (1993)
Nihon Chinbotsu (2006) dir. Shinji Higuchi,2006,Nihon Chinbotsu (1973) dir. Shir’‚ Moritani,1973,33,Nihon Chinbotsu (2006) dir. Shinji Higuchi (2006),Nihon Chinbotsu ,Nihon Chinbotsu (2006),Nihon Chinbotsu ,Nihon Chinbotsu (1973)
The Karate Kid (2010) dir. Harald Zwart,2010,The Karate Kid (1984) dir. John G. Avildsen,1984,26,The Karate Kid (2010) dir. Harald Zwart (2010),The Karate Kid ,The Karate Kid (2010),The Karate Kid ,The Karate Kid (1984)
The Kid from Brooklyn (1946) dir. Norman Z. McLeod,1946,The Milky Way (1936) dir. Leo McCarey,1936,10,The Kid from Brooklyn (1946) dir. Norman Z. McLeod (1946),The Kid from Brooklyn ,The Kid from Brooklyn (1946),The Milky Way ,The Milky Way (1936)
King Kong (1976) dir. John Guillermin,1976,King Kong (1933) dir. Merian C. Cooper & Ernest B. Schoedsack,1933,43,King Kong (1976) dir. John Guillermin (1976),King Kong ,King Kong (1976),King Kong ,King Kong (1933)
King Kong (2005) dir. Peter Jackson,2005,King Kong (1933) dir. Merian C. Cooper & Ernest B. Schoedsack,1933,72,King Kong (2005) dir. Peter Jackson (2005),King Kong ,King Kong (2005),King Kong ,King Kong (1933)
King Solomon's Mines (2004) dir Steve Boyum,2004,King Solomon's Mines (1937) dir. Robert Stevenson,1937,67,King Solomon's Mines (2004) dir Steve Boyum (2004),King Solomon's Mines ,King Solomon's Mines (2004),King Solomon's Mines ,King Solomon's Mines (1937)
King Solomon's Mines (1985) dir. J. Lee Thompson,1985,King Solomon's Mines (1937) dir. Robert Stevenson,1937,48,King Solomon's Mines (1985) dir. J. Lee Thompson (1985),King Solomon's Mines ,King Solomon's Mines (1985),King Solomon's Mines ,King Solomon's Mines (1937)
King Solomon's Mines (1950) dir. Compton Bennett & Andrew Marton,1950,King Solomon's Mines (1937) dir. Robert Stevenson,1937,13,King Solomon's Mines (1950) dir. Compton Bennett & Andrew Marton (1950),King Solomon's Mines ,King Solomon's Mines (1950),King Solomon's Mines ,King Solomon's Mines (1937)
A Connecticut Yankee (1931) dir David Butler,1931,A Connecticut Yankee in King Arthur's Court (1921) dir. Emmett J. Flynn,1921,10,A Connecticut Yankee (1931) dir David Butler (1931),A Connecticut Yankee ,A Connecticut Yankee (1931),A Connecticut Yankee in King Arthur's Court ,A Connecticut Yankee in King Arthur's Court (1921)
A Connecticut Yankee in King Arthur's Court (1949) dir. Tay Garnett,1949,A Connecticut Yankee in King Arthur's Court (1921) dir. Emmett J. Flynn,1921,28,A Connecticut Yankee in King Arthur's Court (1949) dir. Tay Garnett (1949),A Connecticut Yankee in King Arthur's Court ,A Connecticut Yankee in King Arthur's Court (1949),A Connecticut Yankee in King Arthur's Court ,A Connecticut Yankee in King Arthur's Court (1921)
A Kid in King Arthur's Court (1995) dir. Michael Gottlieb,1995,A Connecticut Yankee in King Arthur's Court (1921) dir. Emmett J. Flynn,1921,74,A Kid in King Arthur's Court (1995) dir. Michael Gottlieb (1995),A Kid in King Arthur's Court ,A Kid in King Arthur's Court (1995),A Connecticut Yankee in King Arthur's Court ,A Connecticut Yankee in King Arthur's Court (1921)
A Kiss Before Dying (1991) dir. James Dearden,1991,"A Kiss Before Dying (1956) dir. Gerd OswaldBased on the novel by Ira Levin",1956,35,A Kiss Before Dying (1991) dir. James Dearden (1991),A Kiss Before Dying ,A Kiss Before Dying (1991),A Kiss Before Dying ,A Kiss Before Dying (1956)
Kiss Me Goodbye (1982) dir. Robert Mulligan,1982,Dona Flor e Seus Dois Maridos (1976) dir. Bruno Barreto,1976,6,Kiss Me Goodbye (1982) dir. Robert Mulligan (1982),Kiss Me Goodbye ,Kiss Me Goodbye (1982),Dona Flor e Seus Dois Maridos ,Dona Flor e Seus Dois Maridos (1976)
The Fiend Who Walked the West (1958) dir. Gordon Douglas,1958,Kiss of Death (1947) dir. Henry Hathaway,1947,11,The Fiend Who Walked the West (1958) dir. Gordon Douglas (1958),The Fiend Who Walked the West ,The Fiend Who Walked the West (1958),Kiss of Death ,Kiss of Death (1947)
Kiss of Death (1995) dir. Barbet Schroeder,1995,Kiss of Death (1947) dir. Henry Hathaway,1947,48,Kiss of Death (1995) dir. Barbet Schroeder (1995),Kiss of Death ,Kiss of Death (1995),Kiss of Death ,Kiss of Death (1947)
Knock Knock (2015) dir. Eli Roth,2015,Death Game (1977) dir. Peter S. Traynor,1977,38,Knock Knock (2015) dir. Eli Roth (2015),Knock Knock ,Knock Knock (2015),Death Game ,Death Game (1977)
